ODB Name,Step,Frame,Part Instance Name, Element Label,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,         S-S11,         S-S22,         S-S12
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            11,            16,          270.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -27.1301,      -7.05381,      -39.9191
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            12,            17,          272.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -26.6133,      -6.91946,      -39.1543
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            11,            17,          272.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -26.6133,      -6.91946,       39.6211
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            13,            18,          274.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -26.0966,      -6.78510,      -38.3895
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            12,            18,          274.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -26.0966,      -6.78510,       38.8563
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            14,            19,          276.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -25.5798,      -6.65074,      -37.6246
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            13,            19,          276.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -25.5798,      -6.65074,       38.0915
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            15,            20,          278.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -25.0630,      -6.51638,      -36.8598
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            14,            20,          278.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -25.0630,      -6.51638,       37.3266
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            15,            21,          280.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -24.5463,      -6.38202,       36.5618
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            16,            21,          280.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -24.5463,      -6.38202,      -36.0950
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            17,            22,          282.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -24.0295,      -6.24766,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            16,            22,          282.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -24.0295,      -6.24766,   233.404E-03
